刚转行做销售管理，带的团队业绩一直倒数第一	你能当销售管理说明已经击败百分之八十的人了诶很棒加油
被人说手胖	胖乎乎的小手，一看就觉得握起来软软的很舒服呢！
yp从来没成功过	你很棒，你这样的yp还要想被表扬的yp肯定得病
我报名省考了	太厉害了吧
今天人生第一次手机被偷了	旧的不去，新的不来。如果能找回来是最好，如果找不回来，就当做是人生新开始的一个象征吧
被人渣劈腿了	婚前认清，及时止损
今天论文写了摘要	你好棒啊！是一个不错的开始！
被妈妈打击	其实之后都会没事的，但当时听到还是觉得好难过，过了也就没事了
忘不了前男友	长情的人会有一个美好的结局
最近诸事不顺	遇到了这些不顺心的事儿你还是想要努力，光是这一份上进心就非常值得夸赞了呢！再多试几次，总会成功的！
梦见了想要的生活	祝你梦想成真啊
梦见了自己未来的老公	哈哈～说不定是你未来老公太想你了，才提前出现在你的梦里啦
第一次蒸包子	一定会成功，我也是第一次做
今天堵车没有迟到	超级厉害哟！你是提前预知堵车的小天才吗？加油！！！
我还在学习	这是怎样的意志力让你克服了睡意 取得好成绩后的你会感谢这么努力的自己
我终于分手了	恭喜你又有了新的开始，真棒
遇到好为人师的人	您说的对？我们时间宝贵不要和他们一般计较
突然接到调剂信息，内心悲凉	想开点，组里好多考研初试都没过的
把人际关系搞得一团糟	没有，你很好啊，活得自己开心就好啦。
我被骗了钱	防骗经验值+10086！
被人diss的想哭	走错了人群就赶快回来~ 不用在意无关紧要的人说的话~
没忍住又吃了	吃的过程中收获了快乐～总算还是不亏～
我最近很丧	每个人都可能与痛苦不期而遇，将一缕岁月妥帖安放，或悲或喜；将一怀沧桑静静收藏，或浓或淡。有时，人生多几道坎，不一定是坏事，因为你毕竟欣赏了沿途的风景。很多人或事，经历了心就坚强了；很多沟或坎，跨过了心就豁达了。学会浅行，学会释重，深深领悟，静静飞翔。让心倾听，让心领悟，让心从容。人生，总有许多不美，如痛苦，如挣扎，如彷徨；人生，总有许多完美，如快乐，如美丽，如幸福。总得给自己一片天空，要学会飞翔；总得给自己一个角落，要学会遗忘；总得给自己一方空间，要学会成长。
怀疑自己的能力	会反思就是进步
求到了下下签	不要太相信啦，只要平时多加小心，没问题的，抱抱，会好起来的！！
今天我没有哭	真是很棒的控制力!
突然觉得我好丑	那是因为你不爱照镜子，多照照你就会发现自己那不染尘世脱俗的美。
相亲失败	没有关系~未来会有更好的人在等待着你~缘分是会自然而来的，当它来到的时候，你会知道的！所以不要气馁，用心过好自己的生活吧！你若盛开，清风自来！
不想谈恋爱了	太累了就休息下吧，收拾好心情再重新出发~加油！
今天是我生日！	生日快乐，美好的祝福送给你，所有的心愿都能实现
领导太墨迹	一看见他就觉得阻碍社会进步哇
总是不想去上班	就算是这样楼主也在坚持上班努力工作，才是棒棒的你呀~加油！
昨晚睡得早	你好有自制力鸭～
减肥半个月瘦了	太厉害了吧，竟然坚持了两周！还成功地瘦了！照这个毅力下去一定能瘦成一道闪电！
没忍住玩了一个小时手机	你居然只玩了一个小时手机？说明后来自己停下来了，而且其他的好几个小时都在好好学习啊！真的超级棒！
今天在自习室复习	能主动去自习室你好棒啊
我为什么不知悔改啊。	明明下定决心要早完成作业，但是又写到晚上1:00，成绩已经给了我一拳，但又抄了答案。整天想着玩，很让人生气。怕被人超越和嘲笑所以很辛苦的为了面子学习。没有动力所以去看励志的东西，但是对于积极废人的我来说，全是垃圾资源。
今天上课了	努力的你是最美的！棒棒哒！
每天都活在焦虑里	每个人都可能与痛苦不期而遇，将一缕岁月妥帖安放，或悲或喜；将一怀沧桑静静收藏，或浓或淡。有时，人生多几道坎，不一定是坏事，因为你毕竟欣赏了沿途的风景。很多人或事，经历了心就坚强了；很多沟或坎，跨过了心就豁达了。学会浅行，学会释重，深深领悟，静静飞翔。让心倾听，让心领悟，让心从容。人生，总有许多不美，如痛苦，如挣扎，如彷徨；人生，总有许多完美，如快乐，如美丽，如幸福。总得给自己一片天空，要学会飞翔；总得给自己一个角落，要学会遗忘；总得给自己一方空间，要学会成长。
总是好丧怎么办	每个人都可能与痛苦不期而遇，将一缕岁月妥帖安放，或悲或喜；将一怀沧桑静静收藏，或浓或淡。有时，人生多几道坎，不一定是坏事，因为你毕竟欣赏了沿途的风景。很多人或事，经历了心就坚强了；很多沟或坎，跨过了心就豁达了。学会浅行，学会释重，深深领悟，静静飞翔。让心倾听，让心领悟，让心从容。人生，总有许多不美，如痛苦，如挣扎，如彷徨；人生，总有许多完美，如快乐，如美丽，如幸福。总得给自己一片天空，要学会飞翔；总得给自己一个角落，要学会遗忘；总得给自己一方空间，要学会成长。
忍不住点了外卖	人生，哪有那么多的时间去后悔，吃了就吃了
我失恋了呀	你会遇到更好的
一个人哭了大半个小时	流眼泪有助于解压，是长寿的秘诀之一，也是女性比男性长寿的原因。楼主小小年纪却深谙养生之精髓，可不得夸！
隔壁室友打呼震天响	你好棒啊！如果是我脸肯定很臭了心态好好哦
又跟我妈吵架了	很正常，吵就吵了，别生气，过去就好了！
没查到合适的文献	您超严谨！不会硬塞不合适的文献！加油啊！
社工面试过啦！	你真棒！嘻嘻蹭蹭喜气
可以鼓励我一下吗	努力了就问心无愧
今天给放下过去的心结了	太好了呢。最难放下是心结。最接近自然的人才能不被心结所困。
今天和亲戚大吵一架	敢于直抒胸臆，勇于表达自己的想法！这样的亮剑精神，值得我们学习！你是大家的榜样！！！
坚持背单词	哇！你实在太厉害了！坚持下去！
辞职三四次却走不了	说明你对公司来说很重要
我外婆走了	相信外婆已经去到了一个安乐的国土。
我亲人走了	他永远都陪着你呢
做了两天题，科一考试100，开心	你是天才吗？未来车神就是你！
玩了一天手机	玩了一天手机说明你没压力有毅力，晚上还反省了自己，楼主还是知道要努力上进的人。现在开始看书补救一下还来得及。
周一好疲惫好丧 	能从周末挣扎出来上班的你已经很棒了~你一定是个对工作特别负责的小可爱~
26岁裸辞考研	你好棒，有目标有梦想，一定要做好学习计划呢
今天早起啦	你的人生赚了几小时真好
给父母准备了礼物！	心灵手巧，贴心小棉袄。
总秒赞男神票圈	你一定也是某个人梦寐以求的女神
花钱给自己买了护肤品	嗯嗯，最重要的是学会爱自己，沉稳自爱，而后爱人
考研复试联系的老师特别好	哇！楼主棒棒的，前程似锦！！
终于鼓起勇气分！	恭喜你做出了非常正确的决定，像你这么善良又有爱心，又敢做出勇敢的人，肯定会遇到适合你的。
我主动删了男友	你真的做的很好了，及时止损，不久就会遇见真正对的人了
从昨天开始看书健身练吉他	精神和身体都在路上，不错
要被辞退了，业绩不达标，	或许是工作不适合你，现在你又拥有一次重新选择的机会不是吗？
我觉得自己好矮（男）	拿破仑也矮不照样厉害得不行
我觉得自己好矮（女）	娇小玲珑，可以配各种各样的男人，选择空间大，并且容易让人怜爱心疼，显小显嫩，卖萌装可爱浑然天成，没有一丝违和感，还可以轻松解锁各种姿势，简直不要太幸福:smiling_face_with_3_hearts::smiling_face_with_3_hearts:
我熬夜学习	真棒，所有的你有理都会得到回报的，我也要向你好好学习，不过要注意身体欧
我终于要放弃不再喜欢他了	庆幸啊妹子，你没有被他害到。给他说慢走不送
找不到对象	我觉得孤独终老不可怕，可怕的是终老路上遇到不对的人，所以还是很幸运。下一个就是对的人哟。
支持不婚主义！	用自己喜欢的方式过一生，不后悔，就是一种成功
被学生气到了	真正把学生放在心上才会生气，可敬的人民教师，功在当代，利在千秋
自己要找不到工作了	抱着为别人服务的心，一切都会好的。
要找不到工作了	总会有一个位置属于你的
最近失业了	是时候给自己一个调整自己心态的机会了，不要盲目，楼主要相信自己！
第一次上通宵班	天呐，真努力事业更上一层楼！
今天自己去医院打了针	自己去医院，自己打针，独立自强才能成为优秀的人！你超棒！超勇敢！
明天要四点起床出差	哇！！！！！一看就是很有意义的工作啊
我钱包丢了	破财挡灾~~接下来一定顺风顺水~
明天科二考试，有点紧张	这种事情对你来说简直是小菜一碟
明天有两科考试要考，不想复习	没有关系！之前的基础一定很好，明天随便考考就会成功的！
捡了别人丢下的垃圾扔到了垃圾桶里	楼主真的是非常善良有心的人呢，做了一件好事心情也会非常愉悦
这个世界对胖子总是那么不友好	真正的勇敢是：当你还未开始就已知道自己会输，可你依然要去做，而且无论如何都要把它坚持到底。你很少能赢，但有时也会。减肥跟这很像，需要反反复复的过程，只要不放弃对自己的要求，你一定会赢的~
周末两天躺寝室	楼主非常的优秀，而且又年轻有朝气，选在周末在宿舍躺证明平时学习压力大，适当休息真的明智之举，避免了周日人流高峰且有传染性疾病的风险。楼主真的英明。
新公司入职，尬死	加油，很快会过去的当时选择跳入新圈子，是多大的勇气喔。肯定也是看好新的机会嘛。适应了事业就上一个台阶
面试没发挥好	为一件事情坚持大半年只有超级优秀的人才能做到！你一定能成功的！有最理想的工作等着你！
表白失败了	已经预料到了你有一段自己蜕变进步的时期！羡慕你会变的更好
男朋友为了一个事业编回老家啦	你只是失去一个不够爱你的人！别难过！
独自去陌生城市自由行了	很棒诶，行动力MAX！一个人玩想走就走想停就停，很舒服的！不过一定要注意安全哦，早点回到住的地方。
被老公冷战坚持到现在	居然冷战，充分说明楼主是个有决心有毅力有主见并且执着的人。
和男朋友吵架冷战	亲，你太棒了，你就是女王，这几天就当度假了。小别胜新婚哦。加油加油加油。
我做什么都是错的	那就不要管别人的看法。放飞自己，做自己想做的事。只要自己坚信是对的就行。
裸辞了	你只是暂时在黑暗处，终究会发光的。
家里很闷，压力很大	那就出去走走，吃点好吃的，放松心情吧！明天又会是太阳重新升起的一天！
辞职了	美好的人生在向你招手了，别怕
喝中药没有吐	好药量！我都是偷偷加了冰糖蜂蜜的…好孩子别学我…
复试凉了	没得到最终通知前都不要这样想。我当时考完复试爆哭了一个小时，结果复试成绩是最高的。
压线进复试感觉有点凉	压线进复试的本领可不是人人都有的哦！结果未必凉凉，等好消息吧！
找不到合适的工作了	面对人生困难，你用各种方式努力。加油，你一定可以找到心仪的工作的！
被批评是个初学者	现在是杠精社会，大多数人不杠就不会说话的
过了科目三	真是个厉害的小可爱
超级丧	你是个善良的好孩子，但是也不要让自己太累哦，要变得真的开心起来～
选择家还是理想	只有真的出去走走，这个问题自然会有答案
我很寂寞	大家都是这样的，英雄总是孤独的
讨厌这个世界	这个世界的确有让人很讨厌的一面，但也有让人留恋的一面。
没有方向很焦虑	努力的人，都不会太差，会好的。
樱花好看	你真是个善于发现生活中的美的小可爱还分享给我们看感动～谢谢你呀加油希望你接下来的日子越来越好
弄了很多伤	即便遍体鳞伤，也要活得漂亮。
被老师压得喘不过气来	你可不是一般人啊，上天要磨炼一个人，必先苦其心志，劳其筋骨，饿其体肤，空乏其身。天将降大任于你也。前途不可限量啊！
第一次喝白酒	哇！白酒这么辣你竟然有勇气喝厉害👍
准备戒奶茶	戒奶茶很棒哦，能有这个想法就是一个很好的开始，加油，你可以的
今天过生日	生日要对自己好一点！答应我，要开心，吃好多自己喜欢的！
熬夜做了小动画	那么努力的你真的很厉害啊，要注意身体健康哦，身体好心情也好生活也会更好的，加油
不想学习	明天的你不想学习后天的你不想学习没人想学习可是学习想你这可爱的面孔呀
抑郁确诊	你很棒，今天又超越了自己呢！看看蓝蓝的天空，可以买束鲜花，看着美丽的花朵心情会舒畅些。
面试和笔试砸了	表扬表扬，毕竟你自己认识到了自己的问题所在，改进就好啦。不要紧张自己可以多练习呀。会好的。坚持学习呀
终于说出了分手	有勇气挥别错的人，你好棒！曾经我也是和不可能的人拖了一年，分手后特别难受。那又怎样，现在找了新男友特别安心幸福！
还没找到工作	别慌，至少慌解决不了任何问题。慌得时候拿一张纸记录下来，想清楚自己想要的是什么，有了目标在前进，相对来说会好一些。
还是单身	身边并没有人能配得上你，不是随便谁都行的呀！
我去无偿献血了	献血真的是很棒的举动呢！会帮助到真正需要的人！我以前献血的时候收到血液中心的短信，成就感爆棚！献血完当天免疫力可能会下降，注意早休息，小心感冒哦！
练了两年武术，结果现在膝盖好痛，估计是半月板损伤	至少你快乐了两年，加油，感觉痛了关心下自己，去医院看看
刚把一个多月的内衣洗了	亲真是太勤劳了，去年的袜子我还没有洗呢！给你点赞哦
逆袭上了北大	还有什么能比努力后得到回报这种喜悦来的更让人感动和欣慰呢！！！恭喜你！希望你未来一切顺利，在优秀的路上一路前行~！！加油！！
战胜抑郁症	加油鸭！！你比大多数人都厉害啦没有逃避一直在努力奔跑！
心理咨询满十次了	抑郁症最难的从来都不是咨询师的技术，而是患者不想去咨询，害怕咨询，害怕面对。你是生活的勇者，为了真的帮助到自己，鼓起勇气，这很伟大。
感觉自己老了	人七八十的老太太老爷爷都不觉得自己老去爬华山满世界到处跑，你有什么理由？
昨天居然十点就睡了	早睡让身体节省能量并修复劳累，楼主离长寿又近了一步
没有工作又拒绝了复试	目测你是一个完美主义者，有点点怕失败，或者怕成功，要每天告诉自己“justdoit”，每个人自我修正都是不容易的，好在你有力量通过笔试，我是没有力量开始的那种
讨厌人际交往	人这一生真心朋友又有多少，作为学生第一任务是学习，作为职员第一任务是工作，人这一生并不是为了交朋友。用宝贵的人生跟一些三观不合的人花时间产生塑料友谊还不如读一本书！
考研失败	很棒，继续加油。是金子在哪儿都会发光的，考研的每一个过程都是不容易的，不断的舍弃也才会不断的得到，没事儿，未来可期！
公交发现了后面居然还有一个座位	太厉害了都能一个人坐公交了不过作为小朋友还是要注意安全哦
我拍的照片怎么样	明明可以靠脸吃饭，却偏要靠才华。说的就是你了吧！
王者掉星	好厉害，竟然有星星可以掉
我有猫了	年纪轻轻就有了猫！人生赢家！
每天身体莫名疼痛	啊抱抱，好坚强！祝你早日痊愈，祝你会遇到能照顾好你的人，祝你开心一点更开心一点，祝你有能力得到你想要的。
友谊真的多余吗？	友谊这么复杂，一顿小烧烤解决吧，不行就两顿
比昨天早开始学习	太棒了转眼间都能看懂字儿了赞！
我自己做的饭	本来不想吃东西，看着看着有胃口了呢。谢谢你，我去吃饭啦
我辞职了，开启新的事业	你是最棒的，人生没有白走的路，每一步都算数
失业一个月	每一种经历都是一种感悟，珍惜当下，不要颓废了，挺起腰杆，一定要努力提升自己，今天的你，对我爱答不理，明天的我，让你高攀不起!加油！
我好自卑	那就要不断的去完善自己鸭，对自己能力不满意就去努力改变，相信我，你会变得越来越好的，加油。
试译稿被拒了	一飞冲天，一鸣惊人，说的就是你了吧！第一次翻译专业内容，就被编辑夸成这样！
想要脱单但是鼓不起勇气	没关系至少你还有你的猫我还有我的书
挨骂之后没有心理波动	嗯很厉害这应该是控制自己的情绪了表扬!抗压能力又变好了，真希望我也可以。
不能毕业了	没有行动力的话，就先歇歇吧，有人一直再跑，停下来也需要很大勇气呢！你这么勇敢，就停一停叭
一切糟透了	否极泰来！这么让你难过的日子都过去了！你一定没有什么撑不过去的！表扬你！给你一朵大花花~
不想这么矫情	得之我幸失之我命
领导把重要的任务交给我	撒开手去干吧！大项目，重要的会议等等，不是一般的练手机会。以后履历也会加一笔，曾经主持过重要的工作。天上掉下来的机会呀！
自己做的各种小食	做的太好了吧！！看着就超有食欲！！太厉害了，好想做楼主朋友
能收获表白吗	其实我喜欢你很久了啊，只是一直害羞不敢跟你说
和同事很不愉快	好厉害楼主认清了一个人的真实面貌，以后能隔多远隔多远，被抹黑也不要怕，大家都是成年人，有自己的判断，不会因为别人的三言两语就会把你想成那样子。
找不到工作	很多时候我们会觉得一件事无比重要，觉得自己没做好，就很失败。一方面回头看看自己走过的路，已经很优秀了，另一方面，未来的路还很长，不要过度放大眼前的坎坷。不要急着去否定自己，相信自己是最胖（棒）哒～～
大四好烦	我的大四就是用好事多磨这个词挺过来的，同样送给你一切都是最好的安排好事多磨
还有十天就考试	按部就班的学习、生活，不要瞎想。
想要一个抱抱	来啊，让你在我怀里撒娇亲亲打滚，嫌我瘦还可以长点肉
扭到脚了	也许生活想让你慢一点，多看看沿路的风景，不要总是一往无前的向前冲呢！加油！
哭着祝福喜欢的人	真是一个值得让人心疼的可爱的又能干的小盆友喜欢的人不能在一起还可以给予祝福，对生活依然满怀热爱和希望，还会煮好吃的，你真是太棒啦！
下定决心拉黑了	有机会重新选择本身就是幸运,有勇气重新选择体现出追求幸福的高超能力
毕业转行	年轻最大的资本不就是试错，一条路走到黑，还不如去找寻自己喜欢的风景，加油哈～
内向的人怎么办	内向的人往往在开悟之后会很强大呢，因为只有足够强大才能应对他交际的弱点。
不能上学	要是我，不用上学简直爽翻了，而你觉得这样有罪恶感，你对学习的热情值得我学习！祝你快快康复噢~~
女孩拒绝了我	楼主好勇敢，我心仪过的男孩都是被表白的，你真的很有担当和气度啦！
被说没有天赋	你的其他天赋谁又能比得过呢，莫以己短比人长。
我真的好惨	没事，你不是还有我这条舔狗嘛
要实习了	去鸭去鸭，有好的机会一定要抓住！社会与校园截然不同，不用想其它杂七杂八，关键在于是否有利于提升自己。人生不可能一成不变，在没有更好选择的情况下都是走一步看一步，只要每次工作变动都是为了让自己变得更好，那何乐而不为呢！
文章被拒了	万里长征第二步，厉害!我没勇气投稿,论文放着一年了，佩服你
生病了依旧坚持工作	点赞！这么负责任有担当，不久的将来一定升职加薪走上人生巅峰！你的努力会有人看在眼里的！
愚人节都快结束了也没人跟我说话	说明大家都很爱你很疼你，不舍得对你说谎，不舍得开玩笑让你浪费情绪
每天坚持跑步	细腰，翘臀，马甲线在和你招手
想跳楼	加油呀，挺过现在的黑暗就能看到曙光的
感觉自己重生了	恭喜你呀楼主这样的困境你都挺过来了相信你未来会越来越幸运的加油
每天就只想玩	你明白了人生的真谛啊！人生就是要自己开心自己快乐呀！自己开心最重要了！
找不到男朋友很焦虑	好漂亮的一个妹子，简直让天地失色日月无光，一年后如果还没人要的话，那我就收下了
撩不动汉子好累	太厉害了！都有汉子撩了！我这个汉子老会撩汉子了但是没用！祝您早日撩到呢！
发现自己没有朋友	适当开放一下自己的心怀给别人一点进入的空间
分享一下好看的花	因为你，我们才能看到这么美的景色，谢谢楼主
被男生撩了又莫名其妙地不理我	最讨厌这种撩完就跑其实他自知配不上你
拿到司法证了	祝您发际寸土必争，法场百战百胜
卸载了外卖软件	天呐，你是中国特级厨师吗？
被骂东西做的丑	她一定是嫉妒你心灵手巧
明天考试我又玩了一天 	就羡慕还有试可考的人儿祝不拉后腿表扬了！
感觉自己是全世界最懒的人	懒的都这么别致叹为观止这么懒能看见您的动态也是三生有幸表扬表扬表扬
坚持一礼拜认真记账了	楼主一定会成为持家的小能手！是个认真生活的仙女呢！棒棒哒！
好几天了上课拿错笔记本	楼主迷迷糊糊的好可爱下次可以再专注一点哦不要在同一件事上摔跤
今天鼓起勇气去洗牙啦	洗完你就会爱上洗牙后舌头舔牙床的感觉
周末野餐自制加摆盘	你的挑剔，细致入微，很有品味
自己动手做了一个单间和小公寓	感觉好温馨，好想入住体验下。
整个人钻进被套套好了被子	楼主真机智能想出这么高效还有趣的办法
去健身房维权退款	我们的社会就需要这样能够勇于维护自己权利的人。你不做我不做。谁来当社会主义接班人
日常失恋	这当然不是你的错，是你谈的不够多！再接再厉！
抑郁药减量失败啦	怎么说就是突然有一天你就会觉得自己身上不那么沉重走路可以走很快遇到的事情很有趣遇到的人儿很友善你不在会想自己有没有抑郁症就那样稀里糊涂的开心下来啦
生日又被朋友集体遗忘了	即使所有人都忘记，也要自己给自己庆祝，对自己好一些，生日快乐。
社恐出门啦	哇好棒啊，明天去逛商场吧吧，挑个礼物给自己
老粘人学驾照通过了	心态年轻才是最棒的～活到老学到老～希望我到您的年纪也有不断学习的我思维～
独自做手术求表扬	你太勇敢了！！这么年轻就能独自去做手术以后还有什么难题能阻碍你呢！加油手术顺利
自己动手做菜	楼主如此心灵手巧，做的美食看起来晶莹剔透想象了下口感被馋哭
准备健身了	健身是一件有付出就有回报的事情，好好加油，半年后你会觉得坚持下来的自己超棒
登记了器官捐赠	日常为善良的人打call
无业青年在家看电视剧	我们没有增加社会犯罪率，已经是对社会有用的人了
我被帅哥递小纸条了	爱情的枝桠冒出了温柔！顺便沾个喜气！
找工作找的很失意	找工作看缘分的，我相信你的缘分就要到了。
经历了渣男	最好的一定在后面！告别错的，才能和对的遇见。
减肥失败	必须表扬自己的肉谁都拿不走包括减肥继续保持加油
戒烟啦	加油加油！戒烟对身体好鸭，能坚持下来一定超级棒！
做了指甲	晶莹缤纷的指甲后面是一颗美丽有趣的灵魂
面完最终面就没有下文了	加油，总会有机会的。多找一些试试看。如果对方觉得你不重要，你也不要觉得对方很重要。去寻找真正重视你的单位。
听不懂日本外教的课求表扬	零基础时外教是用来入门发音的，不用着急，这样教出来最后你的发音会非常正的
喜欢的人脱单了	爱是克制，对方找到了幸福不如一起祝福
脱产备战考研	一起加油，为梦想努力的人都会有收获的
走路摔跤磨破膝盖	你可能是大地的宠儿啊大地想要亲吻你的膝盖
坚持吃减脂餐	这说明你有着常人所不能及的毅力
做律师好累点坚持不下去	你得确定你是不是真的喜欢这个职业，这是兴趣支撑你，然后综合你的能力是不是胜任这个职业，这是金钱支撑你，两个总得占一个的
求表扬，今天去家教试讲，回来被学生说垃圾	教不好课并不意味着英语不好呀。
做家教被批评	是他配不上你的水平！
不满意自己写的论文	在这个辛苦的过程中你肯定也学到了很多从前不知道的东西，看待问题的方式也会有所改变的。
决定考研	有考研的勇气！棒！折腾才是人生！
等待面试超紧张	没事呀，和大佬们一起面试向他们学习一下面试经验也很好的！而且相信自己，大佬未必面试就很自如，放轻松
靠自己努力买了车	一定是个对自己很有规划，自制力很强的人。又能够用在自己喜欢的东西上，非常有主见，追求生活品质。
独自去医院看病	自己看病真的不容易，自己曾经也经历过。但等病好了就会觉得自己超级腻害，并且下定决心好好锻炼身体，绝不想再一个人自己去医院！
很久没跟女生说话	那避免了许多无效社交呢！省出了好多时间可以做能让自己更优秀的事
自己烫了头发	很好看呀，是心动的感觉到了
被分手了好难受	别难过啦！想想办法挽留，如果不行的话那就不留恋大步向前好了，未来会好的
要上公开课很紧张	加油！楼主你一定是个认真负责的老师呢，紧张能让你发挥得更好
尝试做做现场活动主持人	很棒，勇敢表达自我还可以超出预期
自己开了工作室	快趁机会大力推广一下
我去征婚了	第一步最难了，接下来就离命中注定的爱人更靠近一点点啦
终于被导师接收了	好厉害!!!加油未来的学术道路一定会一帆风顺的，祝福你
我安装了洗衣机排水管	如果你是男的你又多了一个技能如果你是女的以后请找个小鸟依人的男友
论文没过延毕了	延毕需要坚强的内心，祝福你，无论何时一定要坚持脚下的路，一定会有光明的未来等你！加油！
抢到了演唱会门票	您的手速犹如无线路由可望而不可及
社恐患者申请了出国学习	拥有克服自身困难的勇气，勇于改变现状的行动力，这么优秀的楼主，不表扬你还能表扬谁！
爱而不得	可你至少还有爱的能力呀，一颗努力跳动的真心比什么都重要，享受爱的感觉吧。
每个月都给爸妈打钱	真的很棒！能够照顾父母说明你自己也成长的很好啊！
坚持做自己的公众号	真棒万事开头难后面的一定水到渠成
痛经还坚持开会	颇有鞠躬尽瘁死而后已之风领教了领教了
便秘半年去按摩肠胃	楼主敢于尝试敢于探索，有信心规律生活，真是阳光健康好青年！祝楼主早日远离便秘之忧愁！
担心孩子发烧	辛苦啦这次病完会是一个更强壮的宝宝你也会是一个更强壮的妈妈
拒绝了喜欢我的人很愧疚	你又不是做慈善的，别人喜欢你你尝试看适不适合，实在不行别将就，别愧疚
又被舍友欺负了	摸摸头一定是太善良才会被欺负，以后就学会善良的有尺度了
舍友熬夜打游戏	别生气他玩的不是游戏是自己
不想起床	世界上又多了一个和我不谋而合的人，真是英雄所见略同！躺在床上的我来表扬你了
把米饭蒸成稀饭了	稀饭养胃！恭喜你无意中达成了健康饮食！
取悦别人心很累	先取悦自己这样你就发现这是一件开心又快活的事情
离家太久想家了	我也恋家，让自己忙起来，可能就会冲淡一些这种思绪
复试第一被录取了	看来你应该允许自己多给自己一些肯定和鼓励。你瞧，一不小心就崭露头角了呢！努力都没有白费，好棒啊！
爸妈又吵架了	我小的时候父母还打过嘞！现在也和和睦睦幸福美满！不是事儿！
坚持每天都游泳	你真是太棒了！有这么棒的毅力的你，在生活中，工作上也一定是个很优秀的人！
我开始搞自媒体的了	你好有行动力，敢想敢干，加油！一位灵魂写手诞生了。
跑完了半程马拉松	你怎么这么优秀，热爱跑步的小姐姐肯定很美呢。
拖延症治不好	参加一些比赛，报名一些课程和考试，让外力来逼自己
在想未来的女票	人没有梦想跟咸鱼有什么区别而你有梦想得夸
一个人出门	好棒呀，既能适应集体又能独处，好厉害
找不到人一起看电影	不是你找不到人，而是怕打扰到别人。对待友情时候能站在他人角度他人很棒啊。如果真的想和朋友看电影，大胆发出信息吧，说不定有人愿意陪你呢！
第一次领导实习工资	走出了独立生活的第一步，恭喜
是一个普通而又很菜的应届生	我也很普通，这个世界上大部分人都是普通的这个充满活力的世界就是由你这样一个个普通的人构成的啊！缺少了普通的人，我们的世界就没有意思了。谢谢你为地球增添一份美丽！
自己学校被说是野鸡大学	优秀的人在哪里都会优秀，如果环境不能成为你的助力，就当做一种磨炼吧，加油
中期答辩被批评了	没事的，我毕业答辩还被威胁毕不了业的
鼓舞勇气去根管治疗了	以后就不会被牙痛折磨啦！恭喜你迈出了健康第一步！
早起上班没迟到	厉害！成功克服人类天生的惰性，你就是自制之王！
最好的朋友去了别的城市	能理解楼主的心情，在以后的人生路上还会认识新的朋友
第一次用二手交易平台就被骗了	吃一堑长一智，这种事情发生一次就不会有下一次了，就当是给自己的生活交学费，好与不好都是一次经历
我长智齿了	恭喜楼主获得的新体验，有种新生命在孕育的感觉
不打算考博了，觉得自己废柴	能考上研就不是废柴啦！早点做好自己的定位哟，道路总是光明的。
耗一下午剪视频	一看就是视频剪辑大佬，羡慕，想学
创业好难	正因为艰难，才有很多人选择中途放弃，坚持下去，你就是最后的那一小撮成功的人
我准备买人生第一套房啦	一只柠檬精路过，可以在自己的房子为所欲为啦，真情实感地羡慕
出门没带伞，突然下了倾盆大雨	那就赏个雨景吧，让思绪放空一下
选调生面试失败，没动力准备省考	否极泰来！好好准备省考吧，选调生很辛苦的，说不定是上天给你机会省考翻身呢！
又没按计划练瑜伽	楼主适当享受生活，不要勉强自己
终于打了耳洞	鼓起勇气做自己想做的事，年轻就是要任性自由
打游戏好堕落	科学研究表明，游戏相比睡眠能更好地缓解脑力工作者的压力，只要不成瘾就没问题
自己做的诗词小程序用户破万了	真棒，有如此高雅的爱好，我想跟你做朋友
第一次带项目做组织者	谁都有第一次，经验就是从问题上来的，没遇过几次失误都不好意思说自己做过项目
设计竞赛和队友闹翻了	哇能参加竞赛的人一定很厉害，不过发现问题了还是要去解决比较好呦，问题经过沟通都能解决
过敏性鼻炎自己好了	哇，健康失而复得的惊喜！说明最近体质不错
自己喝了一瓶白酒	天啊，酒量好也是一种能力的，亲亲，你虽然有好酒量，也要注意不要伤身体哟。
网恋奔现很成功	说明你不仅有个有趣的灵魂，还有迷人的外表，真是优秀！
被室友抢走了梦想中的实习	没关系，还有更好的，用一个实习机会看清一个人，远观就好啦
太爱碎碎念了	有表达欲就是有生命力，而且碎碎念很可爱啊。
买的股票跌了	没关系的，大家既然都是韭菜，你可能是茁壮的那颗
今天表演出糗了	没关系，别太放在心上，放下压力，好好总结，下次改进，一定会进步的
生病治疗费太贵	生病已经很难受了，只要花钱能治就积极治疗，身体最重要，没有钱以后再挣，不要想太多啦！
被朋友删除好友了	别难过，摸摸头。要看为什么。如果不是你的问题，庆幸自己远离了不必要的社交吧，人越长大，朋友会慢慢变少，留下的都是挚友
写完论文了	厉害厉害，赶紧去大吃大喝一顿犒劳犒劳自己
自己接的睫毛	这么好看的眼睛配上弯弯的睫毛实在是太美腻啦
论文查重率超标了	我知道，那超标的部分是标点符号，核心内容，还是你的原创！
有房有车失去人生目标了	或许尝试找一点别的兴趣呢，有房有车有工资，一点没有金钱上的压力，是多么令人羡慕啊
